Ref,Val,Package,PosX,PosY,Rot,Side
"C5","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",152.476200,-93.227000,90.000000,top
"C6","10u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",148.158200,-93.227000,270.000000,top
"C9","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",150.317200,-93.227000,270.000000,top
"C12","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",154.254200,-72.136000,90.000000,top
"C13","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",149.225000,-72.145000,270.000000,top
"C14","22p","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",159.045800,-81.178400,0.000000,top
"C15","22p","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",159.045800,-79.273400,180.000000,top
"C16","120n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",157.235000,-76.987400,180.000000,top
"C17","6.8n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",157.242400,-74.828400,0.000000,top
"D1","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",133.985000,-78.740000,90.000000,top
"D2","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",170.815000,-78.740000,90.000000,top
"R3","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",157.530800,-93.218000,90.000000,top
"R4","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",155.244800,-93.218000,90.000000,top
"R7","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",151.739600,-72.127000,270.000000,top
"R8","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",146.685000,-72.145000,270.000000,top
"R9","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",135.890000,-78.740000,90.000000,top
"R10","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",168.910000,-78.740000,90.000000,top
"U5","MPL3115A2","LGA-8_3x5mm_P1.25mm",151.892000,-87.562000,270.000000,top
"U6","BNO055","LGA-28_5.2x3.8mm_BNO0055_handsoldering",149.987000,-80.264000,270.000000,top
"Y1","32.768k","Crystal_SMD_2012-2Pin_2.0x1.2mm_HandSoldering",155.625800,-80.253400,270.000000,top
